step,probability_mae,train_reward,eval_reward,eval_accuracy
0,,,-0.26666666666666666,0.36666666666666664
30,,,-0.13333333333333333,0.43333333333333335
31,0.00645309267565608,-0.65625,,
32,0.006290044169872999,-0.03125,,
33,0.006824391894042492,-0.5,,
34,0.006819230038672686,-0.34375,,
35,0.005864534992724657,0.21875,,
36,0.006107729859650135,-0.25,,
37,0.00660849129781127,-0.28125,,
38,0.006066513247787952,-0.0625,,
39,0.006597946863621473,-0.40625,,
40,0.0060232775285840034,-0.34375,-0.13333333333333333,0.43333333333333335
41,0.006800323724746704,-0.4375,,
42,0.006065103691071272,0.5,,
43,0.005527614150196314,0.0,,
44,0.006318007595837116,0.03125,,
45,0.006360431667417288,0.625,,
46,0.005477496422827244,0.125,,
47,0.006458105985075235,0.03125,,
48,0.006028092000633478,-0.375,,
49,0.00634677242487669,-0.5,,
50,0.006437221542000771,0.125,-0.13333333333333333,0.43333333333333335
51,0.0061673386953771114,0.15625,,
52,0.006125094369053841,-0.03125,,
53,0.006446129642426968,-0.4375,,
54,0.006672082468867302,0.21875,,
55,0.005227719433605671,0.46875,,
56,0.006146470550447702,0.3125,,
57,0.0064221653155982494,-0.5625,,
58,0.00650259992107749,-0.0625,,
59,0.005886174272745848,0.75,,
60,0.006137912627309561,0.21875,-0.06666666666666667,0.4666666666666667
61,0.007085027173161507,0.03125,,
62,0.006786423735320568,0.125,,
63,0.005476799793541431,0.84375,,
64,0.006231947336345911,0.46875,,
65,0.006143556907773018,0.21875,,
66,0.006347152404487133,0.03125,,
67,0.005853624083101749,0.90625,,
68,0.006623944733291864,-0.25,,
69,0.006089475471526384,-0.125,,
70,0.006088096648454666,0.15625,-0.06666666666666667,0.4666666666666667
71,0.006311280652880669,0.6875,,
72,0.006498368456959724,-0.1875,,
73,0.006074919831007719,-0.0625,,
74,0.005935585591942072,0.40625,,
75,0.005887021776288748,0.71875,,
76,0.00656864745542407,-0.3125,,
77,0.007164986804127693,-0.34375,,
78,0.005829759873449802,0.625,,
79,0.006520002149045467,-0.3125,,
80,0.0068039968609809875,0.03125,0.13333333333333333,0.5666666666666667
81,0.006181355100125074,0.375,,
82,0.006535678170621395,0.03125,,
83,0.006051503121852875,-0.21875,,
84,0.006222896743565798,0.28125,,
85,0.006425120867788792,0.625,,
86,0.0064771417528390884,0.09375,,
87,0.006020465865731239,0.5,,
88,0.0069055100902915,0.5,,
89,0.007260049693286419,0.03125,,
90,0.007008952088654041,0.03125,0.0,0.5
91,0.006144203711301088,0.21875,,
92,0.006169920787215233,0.9375,,
93,0.006970547139644623,0.25,,
94,0.00655897194519639,0.0,,
95,0.006766131613403559,0.21875,,
96,0.0060601443983614445,0.375,,
97,0.007544183637946844,0.0625,,
98,0.005655062850564718,0.875,,
99,0.00660061277449131,0.03125,,
100,0.005523032043129206,0.5625,0.2,0.6
101,0.005735736805945635,0.5,,
102,0.006531151942908764,0.4375,,
103,0.005465097725391388,0.78125,,
104,0.0059824599884450436,0.34375,,
105,0.0064772069454193115,0.34375,,
106,0.007415350992232561,-0.375,,
107,0.006704738829284906,0.40625,,
108,0.0061509618535637856,0.75,,
109,0.006567420903593302,-0.1875,,
110,0.005942679941654205,0.6875,0.4666666666666667,0.7333333333333333
111,0.006407357286661863,0.4375,,
112,0.00623732153326273,-0.0625,,
113,0.0067159696482121944,0.71875,,
114,0.006594426464289427,0.21875,,
115,0.006336297374218702,0.125,,
116,0.006088235881179571,0.6875,,
117,0.0064992583356797695,0.5,,
118,0.006461610086262226,0.40625,,
119,0.007099904119968414,0.5,,
120,0.006692260038107634,0.1875,0.4,0.7
121,0.006425295490771532,0.3125,,
122,0.006624918896704912,0.25,,
123,0.007427633740007877,0.375,,
124,0.006195418536663055,0.1875,,
125,0.006751569919288158,0.4375,,
126,0.006294942460954189,0.75,,
127,0.00638958066701889,0.28125,,
128,0.006322623696178198,0.46875,,
129,0.005451336037367582,0.9375,,
130,0.006986239459365606,0.03125,0.2,0.6
131,0.007333831395953894,0.375,,
132,0.006866339594125748,0.4375,,
133,0.006351098418235779,0.46875,,
134,0.006288227159529924,0.40625,,
135,0.006754383910447359,0.28125,,
136,0.006890804972499609,0.59375,,
137,0.0064087603241205215,0.25,,
138,0.006617334205657244,0.28125,,
139,0.006589545868337154,0.6875,,
140,0.006646675057709217,0.375,0.5333333333333333,0.7666666666666667
141,0.007418165449053049,0.21875,,
142,0.006786564365029335,0.5,,
143,0.006497533991932869,0.3125,,
144,0.006645973771810532,0.75,,
145,0.007343626115471125,0.3125,,
146,0.005744041409343481,1.0,,
147,0.004422556608915329,0.75,,
148,0.007157234009355307,0.25,,
149,0.006314058788120747,0.5625,,
150,0.007079637609422207,0.6875,0.4,0.7
151,0.007465312257409096,0.25,,
152,0.006407442968338728,0.5625,,
153,0.005630276165902615,0.71875,,
154,0.006689794361591339,0.375,,
155,0.006151813082396984,0.34375,,
156,0.006082456558942795,0.96875,,
157,0.006215239409357309,0.0,,
158,0.006718363147228956,0.8125,,
159,0.00606775376945734,0.78125,,
